sku,status,old_eur,new_eur,delta_eur,delta_pct,db_slug,title
do88-kit169S,MINOR,874.2,863.73,-10.47,-1.2,do88-do88-kit169s,"Porsche 997.2 Turbo 2010- Inlet hoses for turbo"
LF-190-PP,MINOR,482.81,472.38,-10.43,-2.2,do88-lf-190-pp,"do88 V2 Intake System Plastic VAG EA888"
6-53-10748,MINOR,290.19,300.34,10.15,3.5,do88-6-53-10748,"Setrab SlimLine oil cooler 14 row 420mm"
WC-360,MINOR,819.84,809.93,-9.91,-1.2,do88-wc-360,"BMW F8X M3 M4 Side mounted Intercooler Radiator"
ICM-180,MINOR,796.7,787.12,-9.58,-1.2,do88-icm-180,"Audi Seat Skoda VW 2.0T FSI Intercooler"
6-53-10747,MINOR,261.48,270.69,9.21,3.5,do88-6-53-10747,"Setrab SlimLine oil cooler 10 row 420mm"
ICM-280,MINOR,765.1,755.94,-9.16,-1.2,do88-icm-280,"BMW F20 F30 F87 Performance Intercooler"
ICM-190,MINOR,713.44,704.78,-8.66,-1.2,do88-icm-190,"Volvo 240 Group-A replica intercooler"
ICM-220-S60,MINOR,710.38,701.77,-8.61,-1.2,do88-icm-220-s60,"Volvo S60 V60 Performance Intercooler"
ICM-220-V70,MINOR,710.38,701.77,-8.61,-1.2,do88-icm-220-v70,"Volvo V70 XC70 S80 2008-16 Performance Intercooler"
ICM-290,MINOR,690.95,682.65,-8.3,-1.2,do88-icm-290,"Volvo S60 V60 XC60 2009-2017 Performance Intercooler"
ICM-160,MINOR,681.48,673.25,-8.23,-1.2,do88-icm-160,"Volvo S60 V70 XC70 S80 Turbo 00-09 Intercooler"
ICM-110-TTID,MINOR,669.3,661.23,-8.07,-1.2,do88-icm-110-ttid,"SAAB 9-3 1,9 TTiD Intercooler"
ICM-110-V6,MINOR,669.3,661.23,-8.07,-1.2,do88-icm-110-v6,"SAAB 9-3 2.8t V6 2006- Intercooler"
ICM-110-VEV6,MINOR,669.3,661.23,-8.07,-1.2,do88-icm-110-vev6,"Opel Vectra C OPC V6 2005-08 Intercooler"
OC-130,MINOR,623.41,615.81,-7.6,-1.2,do88-oc-130,"BMW M2 Engine oil cooler Racing"
TR-210-997,MINOR,636.69,629.1,-7.59,-1.2,do88-tr-210-997,"Porsche 997.2 Turbo 2010- Plenum"
TR-300-9912,MINOR,636.69,629.1,-7.59,-1.2,do88-tr-300-9912,"Porsche 911 Turbo / Carrera (991) Plenum"
ICM-140,MINOR,621.36,613.94,-7.42,-1.2,do88-icm-140,"Volvo 200 700 900 Turbo 81-98 Intercooler"
OC-150,MINOR,599.8,592.5,-7.3,-1.2,do88-oc-150,"BMW M3 E46 Engine oil cooler Racing"
WC-190,MINOR,597.85,590.6,-7.25,-1.2,do88-wc-190,"BMW M3 E90 E92 Radiator Aluminum"
WC-320,MINOR,593.76,586.59,-7.17,-1.2,do88-wc-320,"AUDI SEAT SKODA VW 1.8 / 2.0 TSI (MQB) Radiator"
ICM-120,MINOR,570.81,563.94,-6.87,-1.2,do88-icm-120,"SAAB 9-5 98-10 Intercooler"
WC-350,MINOR,573.78,566.91,-6.87,-1.2,do88-wc-350,"BMW F8X M2C M3 M4 Front Intercooler Radiator"
OC-170,MINOR,564.49,557.65,-6.84,-1.2,do88-oc-170,"BMW F8X M2C M3 M4 Engine oil cooler Racing"
WC-280,MINOR,536.61,530.14,-6.47,-1.2,do88-wc-280,"BMW M2 Remote Radiator Aluminum"
LF-130-Filter,CHANGED,75.17,81.62,6.45,8.6,do88-lf-130-filter,"do88 Intake system Replacement Air Filter, LF-130"
OC-120,MINOR,531.04,524.59,-6.45,-1.2,do88-oc-120,"BMW M3 E90 E92 Power steering Oil cooler Racing"
OC-120-E46,MINOR,531.04,524.59,-6.45,-1.2,do88-oc-120-e46,"BMW M3 E46 Auxiliary Oil cooler Racing"
ICM-170,MINOR,531.32,524.92,-6.4,-1.2,do88-icm-170,"Volvo C30/S40/V50/C70 Turbo 04-13 Intercooler"
do88-kit141S,MINOR,515.99,509.72,-6.27,-1.2,do88-do88-kit141s,"Porsche 930 Turbo Oil hoses"
WC-330,MINOR,512.18,506.04,-6.14,-1.2,do88-wc-330,"VW Golf GTI Mk7 (MQB) Auxiliary DSG Radiator"
WC-210-Aut,MINOR,503.63,497.56,-6.07,-1.2,do88-wc-210-aut,"Volvo S60 R V70 R S80 Automatic 99-08 Radiator"
WC-220,MINOR,501.49,495.44,-6.05,-1.2,do88-wc-220,"SAAB 9-3 2.8T V6 2006- Radiator Aluminum"
WC-230,MINOR,501.49,495.44,-6.05,-1.2,do88-wc-230,"SAAB 9-3 2,0T 2003-  Radiator Aluminum"
do88-kit76S,MINOR,504.28,498.26,-6.02,-1.2,do88-do88-kit76s,"Porsche 997.1 TT/GT2 2007-09 Inlet hoses for turbo"
ICM-100,MINOR,496.38,490.4,-5.98,-1.2,do88-icm-100,"SAAB 900/9-3 Turbo 94-02 Intercooler"
WC-200-4,MINOR,490.8,484.83,-5.97,-1.2,do88-wc-200-4,"Volvo 850/X70 Turbo Automatic 94-98 Radiator"
WC-210-Man,MINOR,490.8,484.83,-5.97,-1.2,do88-wc-210-man,"Volvo S60 R V70 R S80 99-08 Radiator"
WC-200-3,MINOR,477.89,472.09,-5.8,-1.2,do88-wc-200-3,"Volvo S70 V70 C70 Turbo 99-00 Radiator"
WC-290,MINOR,477.61,471.88,-5.73,-1.2,do88-wc-290,"BMW M235i M2 335i 435i Radiator Aluminum"
WC-340,MINOR,466.64,461.04,-5.6,-1.2,do88-wc-340,"Volvo V40 S60 V60 XC60 V70 XC70 S80 Radiator"
WC-200-1,MINOR,464.78,459.23,-5.55,-1.2,do88-wc-200-1,"Volvo 850/X70 Turbo Manual 94-98 Radiator"
T9659,MINOR,438.86,433.51,-5.35,-1.2,do88-t9659,"GFB, DVX T9659 (Suits VW Mk7 Golf R and Audi 8V S3)"
WC-270,MINOR,443.78,438.43,-5.35,-1.2,do88-wc-270,"SAAB 9-5 02-10 Radiator"
WC-200-2,MINOR,439.05,433.74,-5.31,-1.2,do88-wc-200-2,"Volvo 850/X70 Manual 93-98 Radiator"
WC-240,MINOR,426.23,421.08,-5.15,-1.2,do88-wc-240,"Volvo 740 940 960 Manual 92-98 Radiator"
WC-300,MINOR,432.45,427.3,-5.15,-1.2,do88-wc-300,"SAAB 900/9-3 Turbo 1994-2002 Radiator"
OC-160,MINOR,420.92,415.8,-5.12,-1.2,do88-oc-160,"Saab 900 Turbo 1984-1993 Engine oil cooler"
WC-250,MINOR,392.41,387.65,-4.76,-1.2,do88-wc-250,"Volvo 240 740 940 Manual 75-98 Radiator"
TR-240-SS,MINOR,377.63,373.05,-4.58,-1.2,do88-tr-240-ss,"BMW F8X M2C M3 M4 Intercooler pipes, Turbo-Intercooler"
WC-260,MINOR,348.36,344.07,-4.29,-1.2,do88-wc-260,"SAAB 900 Turbo 1979-1993 Radiator"
LF-130-V40,MINOR,351.24,347.06,-4.18,-1.2,do88-lf-130-v40,"Volvo V40 T4 T5 Turbo 2013-2015 Intake system"
LF-130-V50,MINOR,351.24,347.06,-4.18,-1.2,do88-lf-130-v50,"Volvo C30/C70/S40/V50 T5 Turbo 2004-13 Intake system"
LF-130-V70,MINOR,351.24,347.06,-4.18,-1.2,do88-lf-130-v70,"Volvo S60/V60/V70/S80 T5 2.5T 2.5FT 2008-15 Intake system"
T9654,MINOR,324.75,320.84,-3.91,-1.2,do88-t9654,"GFB, DVX T9654 (Suits Ford, Volvo & Borg Warner Turbo)"
T9359,MINOR,321.59,317.73,-3.86,-1.2,do88-t9359,"GFB, DV+ T9359 (Suits VW Mk7 Golf R and Audi 8V S3)"
T9430,MINOR,313.79,310,-3.79,-1.2,do88-t9430,"VTA T9430 (Suits late model Audi, VW, Skoda and SEAT 1.2 & 1.4TSI models)"
TR-190S,MINOR,278.11,274.76,-3.35,-1.2,do88-tr-190s,"BMW F20 F30 F87 Pressure pipe with Black hose"
do88-kit85S,MINOR,269.28,266.04,-3.24,-1.2,do88-do88-kit85s,"SAAB 9-5 1.9 TiD 2006-2010 Pressure hoses (85Ah battery)"
do88-kit83S,MINOR,255.91,252.78,-3.13,-1.2,do88-do88-kit83s,"SAAB 9-3 1.9 TiD 04-10 Pressure hoses"
T9451,MINOR,246.24,243.26,-2.98,-1.2,do88-t9451,"VTA T9451 DV+ PERFORMANCE, BLOW OFF VALVE SOUND!"
do88-kit206S,MINOR,240.94,238.06,-2.88,-1.2,do88-do88-kit206s,"Volvo 740 760 780 940 960 D24 Coolant hoses Black"
FB358-16,MINOR,87.91,90.61,2.7,3.1,do88-fb358-16,"Volvo S60 V70, BMC Model Adapted Air Filter"
T9302,MINOR,214.27,211.66,-2.61,-1.2,do88-t9302,"GFB, DV+ T9302 SXV Diverter Valve"
T9354,MINOR,207.59,205.03,-2.56,-1.2,do88-t9354,"GFB, DV+ T9354 (Suits Ford, Volvo, Porsche & Borg Warner Turbo)"
T9360,MINOR,207.59,205.03,-2.56,-1.2,do88-t9360,"GFB, DV+ T9360 suits Ford Focus RS"
do88-kit85-1S,MINOR,206,203.55,-2.45,-1.2,do88-do88-kit85-1s,"SAAB 9-5 1.9 TiD 2006-2010 Turbo to intercooler hose"
do88-kit200S,MINOR,195.42,193.09,-2.33,-1.2,do88-do88-kit200s,"Volvo 740 760 780 940 960 D24 TIC Pressure hoses Black"
T9358,MINOR,188.08,185.75,-2.33,-1.2,do88-t9358,"GFB, DV+ T9358 (Suits Mercedes, Ford and Volvo)"
do88-kit118-4S,MINOR,184.36,182.14,-2.22,-1.2,do88-do88-kit118-4s,"Volvo V60/V70/XC70/S80 Diesel 08-14 Intercooler outlet hose"
T9351,MINOR,178.96,176.75,-2.21,-1.2,do88-t9351,"GFB, DV+ T9351 (Suits late VAG & Euro Models)"
do88-kit116-4S,MINOR,165.68,163.69,-1.99,-1.2,do88-do88-kit116-4s,"Volvo C30/C70/V50/S40 2.0D 04-10 Intercooler outlet hose"
TR-180S,MINOR,157.87,155.97,-1.9,-1.2,do88-tr-180s,"BMW M2, Turbo outlet hose Black"
do88-kit117-2S,MINOR,156.29,154.4,-1.89,-1.2,do88-do88-kit117-2s,"Volvo V70/XC70/S60 D5 2.4D 01-05 Intercooler inlet hose"
do88-kit142S,MINOR,154.72,152.85,-1.87,-1.2,do88-do88-kit142s,"Porsche 930 Turbo K Jetronic hoses"
do88-kit115-4S,MINOR,152.58,150.78,-1.8,-1.2,do88-do88-kit115-4s,"Saab 9-3 TTiD 08-11 Intercooler pipe to intake manifold hose"
do88-kit118-3S,MINOR,146.08,144.28,-1.8,-1.2,do88-do88-kit118-3s,"Volvo V70/XC70/S80/XC60 D5 2.4D 08-10 Intercooler inlet hose"
do88-kit119-3S,MINOR,139.93,138.19,-1.74,-1.2,do88-do88-kit119-3s,"Volvo V70/XC70/S60/S80/XC60/V60 09-13 Diesel Intercooler Inlet hose"
do88-kit120S,MINOR,140.77,139.09,-1.68,-1.2,do88-do88-kit120s,"Volvo V70 XC70 S60 S80 XC90 D5 2.4D 01-06 Inlet hose"
do88-kit233S,MINOR,142.17,140.51,-1.66,-1.2,do88-do88-kit233s,"SAAB 900 1986-93 Power steering hoses Black"
do88-kit85-3S,MINOR,123.4,121.9,-1.5,-1.2,do88-do88-kit85-3s,"SAAB 9-5 1.9 TiD 2006-2010 Intercooler pipe to intake manifold (85Ah battery)"
do88-kit85-4S,MINOR,123.4,121.9,-1.5,-1.2,do88-do88-kit85-4s,"SAAB 9-5 1.9 TiD 2006-2010 Intercooler pipe to intake manifold (60/70Ah battery)"
do88-kit145S,MINOR,128.78,127.3,-1.48,-1.1,do88-do88-kit145s,"Porsche 930 Turbo Inlet hoses for turbo"
do88-kit117-3S,MINOR,116.52,115.05,-1.47,-1.3,do88-do88-kit117-3s,"Volvo V70/XC70/S60 D5 2.4D 01-05 Intercooler outlet hose"
LF-190-Filter,MINOR,131.48,130.01,-1.47,-1.1,do88-lf-190-filter,"do88 V2 Intake System VAG EA888, Replacement Air Filter"
do88-kit83-5S,MINOR,117.92,116.46,-1.46,-1.2,do88-do88-kit83-5s,"SAAB 9-3 1.9 TiD 04-11 Intercooler pipe to intake manifold hose"
do88-kit102-2S,MINOR,119.22,117.78,-1.44,-1.2,do88-do88-kit102-2s,"Volvo V70/XC70/S60 D5 2.4D 05-09 Intercooler inlet hose"
do88-kit102-3S,MINOR,119.22,117.78,-1.44,-1.2,do88-do88-kit102-3s,"Volvo V70/XC70/S60 D5 2.4D 05-09 Intercooler outlet hose"
do88-kit119-4S,MINOR,125.44,124,-1.44,-1.1,do88-do88-kit119-4s,"Volvo V70/XC70/S80 09-13 Diesel Intercooler outlet hose"
CP-120-1,MINOR,120.14,118.73,-1.41,-1.2,do88-cp-120-1,"VAG 2.0 TSI EA888 GEN4 (245HK) Turbo Muffler Delete"
CP-100,MINOR,106.4,105.14,-1.26,-1.2,do88-cp-100,"Porsche 997.1 TT/GT2 2007-09 Adapter 50mm compressor housing"
do88-kit83-2S,MINOR,100.92,99.7,-1.22,-1.2,do88-do88-kit83-2s,"SAAB 9-3 1.9 TiD 04-11 Intercooler outlet hose"
do88-kit116-3S,MINOR,100.73,99.53,-1.2,-1.2,do88-do88-kit116-3s,"Volvo C30/C70/V50/S40 2.0D 04-10 Intercooler inlet hose"
do88-kit119-5S,MINOR,93.66,92.46,-1.2,-1.3,do88-do88-kit119-5s,"Volvo V70/XC70/S60/S80/XC60/V60 09-13 Diesel EGR inlet hose"
do88-kit143S,MINOR,90.23,89.16,-1.07,-1.2,do88-do88-kit143s,"Porsche 930 Turbo Air injection hoses"
do88-kit119-1S,MINOR,83.72,82.69,-1.03,-1.2,do88-do88-kit119-1s,"Volvo V70/XC70/S60/S80/XC60/V60 09-13 AWD Diesel Turbo outlet hose"
do88-kit115-3S,MINOR,85.11,84.1,-1.01,-1.2,do88-do88-kit115-3s,"Saab 9-3 TTiD 08-11 Intercooler outlet hose"
do88-kit102-1S,MINOR,86.7,85.71,-0.99,-1.1,do88-do88-kit102-1s,"Volvo V70/XC70/S60/XC90 D5 2.4D 05-14 Turbo outlet hose"
do88-kit117-4S,MINOR,79.63,78.65,-0.98,-1.2,do88-do88-kit117-4s,"Volvo V70/XC70/S60/S80/XC90 D5 2.4D 01-06 EGR to Intake"
BLB90G63,MINOR,69.78,68.89,-0.89,-1.3,do88-blb90g63,"Silicone Hose Blue 90 degree long leg 2,5'' (63mm)"
BLB90G70,MINOR,76.93,76.05,-0.88,-1.1,do88-blb90g70,"Silicone Hose Blue 90 degree long leg 2,75'' (70mm)"
do88-kit208S,MINOR,76.47,75.6,-0.87,-1.1,do88-do88-kit208s,"Volvo 740 760 780 940 960 D24T D24TIC Crankcase vent hose Black"
SCOB76,MINOR,64.11,63.25,-0.86,-1.3,do88-scob76,"Cobra head 3"
do88-kit85-2S,MINOR,65.42,64.57,-0.85,-1.3,do88-do88-kit85-2s,"SAAB 9-5 1.9 TiD 2006-2010 Intercooler outlet hose"
do88-kit119-2S,MINOR,73.13,72.29,-0.84,-1.1,do88-do88-kit119-2s,"Volvo V70/XC70/S60/S80/XC60/V60 09-13 2WD Diesel Turbo outlet hose"
do88-kit83-3S,MINOR,70.62,69.79,-0.83,-1.2,do88-do88-kit83-3s,"SAAB 9-3 1.9 TiD 04-11 Intercooler inlet hose"
do88-kit144S,MINOR,64.49,63.69,-0.8,-1.2,do88-do88-kit144s,"Porsche 930 Turbo Vacuum hoses"
do88-kit207S,MINOR,73.31,72.51,-0.8,-1.1,do88-do88-kit207s,"Volvo 740 760 780 940 960 D24 Heater hoses Black"
do88-kit115-1S,MINOR,59.38,58.6,-0.78,-1.3,do88-do88-kit115-1s,"Saab 9-3 TTiD 08-11 Turbo outlet hose"
do88-kit115-2S,MINOR,61.33,60.56,-0.77,-1.3,do88-do88-kit115-2s,"Saab 9-3 TTiD 08-11 Intercooler inlet hose"
KKK24-Flange,MINOR,64.58,63.81,-0.77,-1.2,do88-kkk24-flange,"Volvo K24 V-band adapter"
BLB90G57,MINOR,63.56,62.82,-0.74,-1.2,do88-blb90g57,"Silicone Hose Blue 90 degree long leg 2,25'' (57mm)"
BLB90G60,MINOR,66.43,65.69,-0.74,-1.1,do88-blb90g60,"Silicone Hose Blue 90 degree long leg 2,375'' (60mm)"
do88-kit166B,MINOR,63,62.26,-0.74,-1.2,do88-do88-kit166b,"Volvo 240 Turbo 1981-1985 Pressure hoses Blue"
SCOB63,MINOR,59.38,58.64,-0.74,-1.2,do88-scob63,"Cobra head 2,5"
do88-kit117-1S,MINOR,63.84,63.15,-0.69,-1.1,do88-do88-kit117-1s,"Volvo V70/XC70/S60/XC90 D5 2.4D 01-05 Turbo outlet hose"
BLB90G51,MINOR,57.42,56.75,-0.67,-1.2,do88-blb90g51,"Silicone Hose Blue 90 degree long leg 2'' (51mm)"
do88-kit210S,MINOR,49.8,49.16,-0.64,-1.3,do88-do88-kit210s,"Volvo 740 760 780 940 960 4-cyl Petrol Heater hoses Black"
og900-thermo,MINOR,52.96,52.35,-0.61,-1.2,do88-og900-thermo,"SAAB 900 1981-93 Pipe for Thermo switch Air conditioning"
do88-kit242S,MINOR,45.91,45.31,-0.6,-1.3,do88-do88-kit242s,"SAAB 9-3 2.8t V6 2006- Expansion tank hose Black"
do88-kit102-4-5S,MINOR,46.27,45.69,-0.58,-1.3,do88-do88-kit102-4-5s,"Volvo V70/XC70/S60/XC90/D5 2.4D 05-14 EGR to intake"
do88-kit83-1S,MINOR,41.44,40.89,-0.55,-1.3,do88-do88-kit83-1s,"SAAB 9-3 1.9 TiD 04-11 Turbo outlet hose"
do88-kit118-1-2S,MINOR,42,41.46,-0.54,-1.3,do88-do88-kit118-1-2s,"Volvo V70/XC70/S80/XC60 D5 2.4D 08-09 Resonator housing hoses"
BLB90G41,MINOR,36.98,36.49,-0.49,-1.3,do88-blb90g41,"Silicone Hose Blue 90 degree long leg 1,625'' (41mm)"
BLB90G45,MINOR,40.14,39.67,-0.47,-1.2,do88-blb90g45,"Silicone Hose Blue 90 degree long leg 1,75'' (45mm)"
do88-kit83-4S,MINOR,38.19,37.73,-0.46,-1.2,do88-do88-kit83-4s,"SAAB 9-3 1.9 TiD 04-11 Intercooler pipe hose"
BLB90G35,MINOR,32.06,31.64,-0.42,-1.3,do88-blb90g35,"Silicone Hose Blue 90 degree long leg 1,375'' (35mm)"
BLB90G38,MINOR,34.47,34.06,-0.41,-1.2,do88-blb90g38,"Silicone Hose Blue 90 degree long leg 1,5'' (38mm)"
BIG-360,NEW,,4199.38,,,,"BigPack Porsche 911 Turbo (996)"
BLB90G13,NEW,,15.97,,,,"Silicone Hose Blue 90 degree long leg 0,5'' (13mm)"
BLB90G16,NEW,,18.74,,,,"Silicone Hose Blue 90 degree long leg  0,625'' (16mm)"
BLB90G19,NEW,,21.49,,,,"Silicone Hose Blue 90 degree long leg  0,75'' (19mm)"
BLB90G22,NEW,,24.35,,,,"Silicone Hose Blue 90 degree long leg  0,875'' (22mm)"
BLB90G25,NEW,,27.21,,,,"Silicone Hose Blue 90 degree long leg  1'' (25mm)"
BLB90G32,NEW,,29.19,,,,"Silicone Hose Blue 90 degree long leg 1,25'' (32mm)"
BLT13,NEW,,10.46,,,,"Silicone Hose Blue T 0,5'' (13mm)"
BLT16,NEW,,12.25,,,,"Silicone Hose Blue T 0,625'' (16mm)"
BLT19,NEW,,14.1,,,,"Silicone Hose Blue T 0,75'' (19mm)"
BLT22,NEW,,15.97,,,,"Silicone Hose Blue T 0,875'' (22mm)"
BLT25,NEW,,17.86,,,,"Silicone Hose Blue T 1'' (25mm)"
BLT28,NEW,,19.72,,,,"Silicone Hose Blue T 1,125'' (28mm)"
BLT30,NEW,,20.94,,,,"Silicone Hose Blue T 1,18'' (30mm)"
BLT32,NEW,,22.15,,,,"Silicone Hose Blue T 1,25'' (32mm)"
BLT35,NEW,,23.91,,,,"Silicone Hose Blue T 1,375'' (35mm)"
BLT38,NEW,,25.78,,,,"Silicone Hose Blue T 1,5'' (38mm)"
BLT41,NEW,,27.66,,,,"Silicone Hose Blue T 1,625'' (41mm)"
do88-kit116-1S,NEW,,18.74,,,,"Volvo C30/C70/V50/S40 2.0D 04-10 Turbo outlet hose"
do88-kit116-2S,NEW,,24.46,,,,"Volvo C30/C70/V50/S40 2.0D 04-10 Silencer to IC pipe"
do88-kit158S,NEW,,764.2,,,,"Porsche 964 Turbo Oil hoses"
do88-kit159S,NEW,,127.3,,,,"Porsche 964 Turbo Inlet hoses for turbo"
do88-kit160S,NEW,,140.18,,,,"Porsche 964 Turbo Pressure hoses"
do88-kit161S,NEW,,127.3,,,,"Porsche 964 Turbo K Jetronic hoses"
do88-kit163S,NEW,,45.75,,,,"Porsche 964 Turbo Carbon canister hose"
do88-kit243S,NEW,,81.68,,,,"Porsche 911 (996) Turbo F-hose Black"
do88-kit244S,NEW,,126.08,,,,"Porsche 911 (996) Turbo Y-hose Black"
do88-kit77S,NEW,,20.84,,,,"SAAB 9-5 98-10 Evacuation hose"
do88-kit84-3S,NEW,,17.64,,,,"SAAB 9-3 2.2 TiD 98-02 Turbo outlet hose"
H45,NEW,,14.54,,,,"Silicone Hose Blue Hump 1,75'' (45mm)"
H51,NEW,,15.2,,,,"Silicone Hose Blue Hump 2'' (51mm)"
H57,NEW,,15.97,,,,"Silicone Hose Blue Hump 2,25'' (57mm)"
H60,NEW,,16.51,,,,"Silicone Hose Blue Hump 2,375'' (60mm)"
H63,NEW,,16.51,,,,"Silicone Hose Blue Hump 2,5'' (63mm)"
H70,NEW,,17.2,,,,"Silicone Hose Blue Hump 2,75'' (70mm)"
H76,NEW,,17.95,,,,"Silicone Hose Blue Hump 3'' (76mm)"
H80,NEW,,19.19,,,,"Silicone Hose Blue Hump 3,125'' (80mm)"
H83,NEW,,20.16,,,,"Silicone Hose Blue Hump 3,25'' (83mm)"
H89,NEW,,20.84,,,,"Silicone Hose Blue Hump 3,5'' (89mm)"
ICM-200-996,NEW,,1511.09,,,,"Porsche 996 Turbo GT2 Intercooler 99-05"
ICM-460-G,NEW,,3969.3,,,,"do88 Intercooler MERA, Porsche 911 Turbo (964)"
ICM-460-K,NEW,,2377.24,,,,"do88 Intercooler, Porsche 911 Turbo (964)"
K300-25-27,NEW,,3.3,,,,"Mikalor Supra Heavy duty hose clamp 25-27mm W2"
K300-27-29,NEW,,3.3,,,,"Mikalor Supra Heavy duty hose clamp 27-29mm W2"
K300-29-31,NEW,,3.64,,,,"Mikalor Supra Heavy duty hose clamp 29-31mm W2"
K300-31-34,NEW,,3.76,,,,"Mikalor Supra Heavy duty hose clamp 31-34mm W2"
K300-34-37,NEW,,3.96,,,,"Mikalor Supra Heavy duty hose clamp 34-37mm W2"
K300-37-40,NEW,,3.96,,,,"Mikalor Supra Heavy duty hose clamp 37-40mm W2"
K300-40-43,NEW,,4.06,,,,"Mikalor Supra Heavy duty hose clamp 40-43mm W2"
K300-43-47,NEW,,5.19,,,,"Mikalor Supra Heavy duty hose clamp 43-47mm W2"
K300-47-51,NEW,,5.4,,,,"Mikalor Supra Heavy duty hose clamp 47-51mm W2"
K300-51-55,NEW,,5.5,,,,"Mikalor Supra Heavy duty hose clamp 51-55mm W2"
K300-55-59,NEW,,5.62,,,,"Mikalor Supra Heavy duty hose clamp 55-59mm W2"
K300-59-63,NEW,,5.62,,,,"Mikalor Supra Heavy duty hose clamp 59-63mm W2"
K300-63-68,NEW,,5.74,,,,"Mikalor Supra Heavy duty hose clamp 63-68mm W2"
K300-68-73,NEW,,7.71,,,,"Mikalor Supra Heavy duty hose clamp 68-73mm W2"
K300-73-79,NEW,,7.95,,,,"Mikalor Supra Heavy duty hose clamp 73-79mm W2"
K300-79-85,NEW,,8.15,,,,"Mikalor Supra Heavy duty hose clamp 79-85mm W2"
K300-85-91,NEW,,8.39,,,,"Mikalor Supra Heavy duty hose clamp 85-91mm W2"
K300-91-97,NEW,,8.49,,,,"Mikalor Supra Heavy duty hose clamp 91-97mm W2"
K300-97-104,NEW,,8.7,,,,"Mikalor Supra Heavy duty hose clamp 97-104mm W2"
LF-190-SAI-KIT,NEW,,24.82,,,,"do88 VAG EA888 SAI Air Filter"
RH51,NEW,,15.2,,,,"Silicone Hose Red Hump 2'' (51mm)"
RH57,NEW,,15.97,,,,"Silicone Hose Red Hump 2,25'' (57mm)"
RH60,NEW,,16.51,,,,"Silicone Hose Red Hump 2,375'' (60mm)"
RH63,NEW,,16.51,,,,"Silicone Hose Red Hump 2,5'' (63mm)"
RH70,NEW,,17.2,,,,"Silicone Hose Red Hump 2,75'' (70mm)"
RH76,NEW,,17.95,,,,"Silicone Hose Red Hump 3'' (76mm)"
RH80,NEW,,19.19,,,,"Silicone Hose Red Hump 3,125'' (80mm)"
RH83,NEW,,20.16,,,,"Silicone Hose Red Hump 3,25'' (83mm)"
RH89,NEW,,20.84,,,,"Silicone Hose Red Hump 3,5'' (89mm)"
