brand,sku,slug,title,ourPriceUsd,ourPriceEur,sourceUrl,sourcePriceRaw,sourcePriceNum,sourceCurrency,deltaPct,matchOk,status,note
adro,"A18A20-1101/A18A20-2401","adro-a18a20-1101-a18a20-2401","ADRO A18A20-1101/A18A20-2401 Option 4 Widebody Kit (Excludes AT-P1 Bumper & Fend",,,"https://adrocarbon.com/search?q=A18A20-1101%2FA18A20-2401","",,,,false,fetch-error,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://adrocarbon.com/search?q=A18A20-1101%2FA18A20-2401
Call log:
[2m  - navigating to ""https://adrocarbon.com/search?q=A18A20-1101%2FA18A20-2401"", waiting "
adro,"A12A10-1301","adro-a12a10-1301","ADRO A12A10-1301 Carbon Fiber Rear Diffuser for KIA K5 2020-",,,"https://adrocarbon.com/search?q=A12A10-1301","",,,,false,fetch-error,"page.goto: net::ERR_NAME_NOT_RESOLVED at https://adrocarbon.com/search?q=A12A10-1301
Call log:
[2m  - navigating to ""https://adrocarbon.com/search?q=A12A10-1301"", waiting until ""domcontentloaded""[22"
burger,"BURGER-8148353613998","burger-bms-billet-radiator-cap-upgrade-for-subaru","BMS Billet Radiator Cap Upgrade for Subaru WRX, STI, & Legacy",67.4,62.01,"https://burgertuning.com/search?q=8148353613998","",,,,false,product-not-found,"search returned no results"
burger,"BURGER-7561337503918","burger-group-18-jb4-for-ea888-gen4-mk8-golf-r-audi-s3-8y-cupra-leon-formentor","Group 18: JB4 for EA888 Gen4 for Mk8 Golf R, Audi S3 8Y, Cupra Leon/Formentor",721.9,583.19,"https://burgertuning.com/search?q=7561337503918","",,,,false,product-not-found,"search returned no results"
burger,"BURGER-4450997600371","burger-bms-b46-b48-billet-intake","BMS B46/B48 Billet Intake for BMW",248.9,228.99,"https://burgertuning.com/search?q=4450997600371","",,,,false,product-not-found,"search returned no results"
burger,"BURGER-7764685848750","burger-bms-downshift-blocker-for-2018-kia-stinger-genesis-g70-g80","BMS Downshift Blocker for 2018+ KIA Stinger & Genesis G70/G80",50.9,46.83,"https://burgertuning.com/search?q=7764685848750","",,,,false,product-not-found,"search returned no results"
burger,"BURGER-9050534543534","burger-bms-2025-dodge-charger-scat-pack-six-pack-dual-oil-catch-can-system-pcv-ccv","BMS 2026+ Dodge Charger Scat Pack Dual Oil Catch Can System (PCV & CCV)",578.9,532.59,"https://burgertuning.com/search?q=9050534543534","",,,,false,product-not-found,"search returned no results"
akrapovic,"S-AU/TI/6H","akrapovic-s-au-ti-6h","AKRAPOVIC S-AU/TI/6H Evolution Line Exhaust System (Titanium) for AUDI S7 (C7)",,,"","",,,,false,no-public-price,"Akrapovic publishes prices via authorized dealers only; akrapovic.com has no e-comm."
akrapovic,"TP-CT/53","akrapovic-tp-ct-53","AKRAPOVIC TP-CT/53 Exhaust Tailpipes for PORSCHE 536 Cayenne and Cayenne Coupe (",,,"","",,,,false,no-public-price,"Akrapovic publishes prices via authorized dealers only; akrapovic.com has no e-comm."
akrapovic,"S-BM/T/30H","akrapovic-s-bm-t-30h","AKRAPOVIC S-BM/T/30H Slip-On Line Exhaust System (Titanium) for BMW M340I (G20/G",,,"","",,,,false,no-public-price,"Akrapovic publishes prices via authorized dealers only; akrapovic.com has no e-comm."
akrapovic,"E-PO/T/5","akrapovic-e-po-t-5","AKRAPOVIC E-PO/T/5 Evolution Header System (Titanium) for PORSCHE 911 GT3RS / GT",,,"","",,,,false,no-public-price,"Akrapovic publishes prices via authorized dealers only; akrapovic.com has no e-comm."
akrapovic,"S-PO/TI/11H","akrapovic-s-po-ti-11h","AKRAPOVIC S-PO/TI/11H Evolution Line Exhaust System (Titanium) for PORSCHE Cayen",,,"","",,,,false,no-public-price,"Akrapovic publishes prices via authorized dealers only; akrapovic.com has no e-comm."
brabus,"z12-z223-gu","brabus-s-klasse-z12-z223-gu","Monoblock Z  for Mercedes – Z 223 – Maybach S 580 / S 680",,4641,"","",,,,false,no-public-price,"Brabus components are sold via Brabus Tuning Centers; prices are quote-only."
brabus,"x290-857-09","brabus-gt-klasse-x290-857-09","Alcantara hat rack for Mercedes – X 290 – AMG GT 63 Facelift",,1071,"","",,,,false,no-public-price,"Brabus components are sold via Brabus Tuning Centers; prices are quote-only."
brabus,"290-465-99","brabus-gt-klasse-290-465-99","Carbon rear fascia attachments for Mercedes – X 290 – AMG GT 63",,2368.1,"","",,,,false,no-public-price,"Brabus components are sold via Brabus Tuning Centers; prices are quote-only."
brabus,"Z12-257-GU","brabus-z12-257-gu","Monoblock Z for Mercedes – C257 – CLS 220 – CLS 450 | AMG Line",,4641,"","",,,,false,no-public-price,"Brabus components are sold via Brabus Tuning Centers; prices are quote-only."
brabus,"192-505-99","brabus-gt-klasse-192-505-99","Carbon fender add-on parts for Mercedes – C 192 – AMG GT 63",,3451,"","",,,,false,no-public-price,"Brabus components are sold via Brabus Tuning Centers; prices are quote-only."
ohlins,"48000-27","ohlins-48000-27","OHLINS 48000-27 Spring 65/180/90",,,"","",,,,false,no-public-price,"Öhlins prices vary by regional distributor; ohlins.com is informational."
ohlins,"35020-35","ohlins-35020-35","OHLINS 35020-35 Deactivation Kit MERCEDES A45 AMG (W177)",,,"","",,,,false,no-public-price,"Öhlins prices vary by regional distributor; ohlins.com is informational."
ohlins,"62473-09","ohlins-62473-09","OHLINS 62473-09 Spring 90/420/50 N/mm",,,"","",,,,false,no-public-price,"Öhlins prices vary by regional distributor; ohlins.com is informational."
ohlins,"35020-31","ohlins-35020-31","OHLINS 35020-31 Electronic Damping Kit AUDI A4/S4/RS4/A5/S5/RS5 B9",,,"","",,,,false,no-public-price,"Öhlins prices vary by regional distributor; ohlins.com is informational."
ohlins,"35020-27","ohlins-35020-27","OHLINS 35020-27 Electronic Damping Kit AUDI S3 8P",,,"","",,,,false,no-public-price,"Öhlins prices vary by regional distributor; ohlins.com is informational."
ipe,"IPE-PORSCHEBOXSTERCAYMAN981-A74A5471","ipe-porsche-boxster-cayman-981-exhaust","Porsche Boxster / Cayman / Cayman GT4 (981) Exhaust System",5200,,"","",,,,false,no-public-price,"iPE F1 Innotech distributes via regional dealers; ipe-f1.com lists products without prices."
ipe,"IPE-MCLAREN650S-B8F03245","ipe-mclaren-650s-exhaust","McLaren 650S Exhaust System",5900,,"","",,,,false,no-public-price,"iPE F1 Innotech distributes via regional dealers; ipe-f1.com lists products without prices."
ipe,"IPE-PORSCHE911TURBOTURBOS991-4FD19845","ipe-porsche-911-turbo-turbo-s-991-991-2-exhaust","Porsche 911 Turbo / Turbo S (991/991.2) Exhaust System",6100,,"","",,,,false,no-public-price,"iPE F1 Innotech distributes via regional dealers; ipe-f1.com lists products without prices."
ipe,"IPE-MCLAREN720S-0A780A5E","ipe-mclaren-720s-exhaust","McLaren 720S Coupe / Spider Exhaust System",7500,,"","",,,,false,no-public-price,"iPE F1 Innotech distributes via regional dealers; ipe-f1.com lists products without prices."
ipe,"IPE-FERRARIPORTOFINO-4FC2D417","ipe-ferrari-portofino-exhaust","Ferrari Portofino Exhaust System",8000,,"","",,,,false,no-public-price,"iPE F1 Innotech distributes via regional dealers; ipe-f1.com lists products without prices."
urban,"URB-DIF-25358184-V1","urb-dif-25358184-v1","Urban Visual Carbon Fibre Rear Diffuser for Mercedes-Benz EQC",1639,1518,"","",,,,false,no-public-price,"Urban Automotive is quote-only (urbanautomotive.eu shows products without prices)."
urban,"URB-NUM-25353147-V1","urb-num-25353147-v1","Urban Central Number Plate Positioning Kit for Discovery 5 2017-2020",1264,1170,"","",,,,false,no-public-price,"Urban Automotive is quote-only (urbanautomotive.eu shows products without prices)."
urban,"URB-BOD-25353067-V1","urb-bod-25353067-v1","Range Rover L494 Sport - SVR - Pre 2017 - Carbon Fibre V2 Kit",14483,13410,"","",,,,false,no-public-price,"Urban Automotive is quote-only (urbanautomotive.eu shows products without prices)."
urban,"URB-SIL-25358231-V1","urb-sil-25358231-v1","Audi RSQ8 Pre-Facelift Visual Carbon Fibre Lower Sills with URBAN Emblem",6415,5940,"","",,,,false,no-public-price,"Urban Automotive is quote-only (urbanautomotive.eu shows products without prices)."
urban,"URB-SID-26006228-V1","urb-sid-26006228-v1","Range Rover Sport L461 Matrix Black Shadow Fixed Side Steps",1549,1434,"","",,,,false,no-public-price,"Urban Automotive is quote-only (urbanautomotive.eu shows products without prices)."
